state,x,y
Alabama,143,-90
Alaska,-200,-170
Arizona,-200,-44
Arkansas,61,-53
California,-297,13
Colorado,-112,20
Connecticut,318,87
Delaware,295,38
Florida,220,-145
Georgia,185,-75
Hawaii,-317,-143
Idaho,-213,122
Illinois,96,37
Indiana,135,39
Iowa,40,67
Kansas,-17,5
Kentucky,149,-10
Louisiana,72,-128
Maine,324,160
Maryland,280,27
Massachusetts,327,102
Michigan,148,101
Minnesota,30,135
Mississippi,94,-78
Missouri,55,6
Montana,-141,150
Nebraska,-35,52
Nevada,-254,56
New Hampshire,332,124
New Jersey,300,60
New Mexico,-124,-49
New York,250,100
North Carolina,239,-22
North Dakota,-39,154
Ohio,178,49
Oklahoma,-8,-41
Oregon,-278,130
Pennsylvania,240,64
Rhode Island,340,93
South Carolina,218,-51
South Dakota,-41,105
Tennessee,133,-36
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,241,9
Washington,-257,183
West Virginia,204,20
Wisconsin,83,113
Wyoming,-131,90
